Date, Open, High, Low
2016-06-29, 113.37, 114.25, 113.04
2016-06-28, 110.63, 112.75, 110.55
2016-06-27, 111.57, 111.57, 108.23
2016-06-24, 111.01, 113.68, 111.0
2016-06-23, 114.37, 115.09, 113.54
2016-06-22, 114.65, 114.74, 113.61
2016-06-21, 114.12, 115.2142, 113.97
2016-06-20, 113.77, 114.72, 112.75
2016-06-17, 114.42, 114.43, 112.56
2016-06-16, 113.87, 114.5, 112.94
2016-06-15, 115.3, 115.44, 114.07
2016-06-14, 114.07, 114.95, 113.58
2016-06-13, 115.0, 115.48, 113.31
2016-06-10, 117.54, 118.11, 116.26
2016-06-09, 118.13, 118.68, 117.71
2016-06-08, 117.76, 118.6, 117.27
2016-06-07, 119.24, 119.3, 117.67
2016-06-06, 118.62, 119.43, 118.36
2016-06-03, 118.975, 118.98, 117.86
2016-06-02, 118.69, 135.6, 118.22
2016-06-01, 118.5, 119.08, 117.82
2016-05-31, 119.46, 120.1, 118.121
2016-05-27, 119.56, 119.85, 119.01
2016-05-26, 118.24, 119.7601, 117.92
2016-05-25, 118.13, 118.665, 117.38
2016-05-24, 116.24, 117.73, 116.12
2016-05-23, 117.42, 117.6, 115.94
2016-05-20, 116.96, 117.99, 116.95
2016-05-19, 117.05, 117.49, 115.88
2016-05-18, 116.8, 118.27, 116.73
2016-05-17, 118.82, 119.01, 117.2
2016-05-16, 119.38, 119.61, 117.35
2016-05-13, 120.38, 120.64, 119.68
2016-05-12, 119.98, 120.84, 118.9
2016-05-11, 120.41, 121.08, 119.42
2016-05-10, 119.62, 120.5, 114.8
2016-05-09, 119.54, 120.28, 118.9
2016-05-06, 117.16, 119.637, 117.1127
2016-05-05, 118.04, 118.98, 117.25
2016-05-04, 116.61, 118.3, 116.57
2016-05-03, 117.52, 118.16, 117.02
2016-05-02, 117.83, 118.73, 116.57
2016-04-29, 116.82, 117.84, 115.84
2016-04-28, 119.575, 120.79, 116.23
2016-04-27, 107.94, 108.94, 106.31
2016-04-26, 110.49, 110.5, 108.15
2016-04-25, 109.87, 110.67, 109.07
2016-04-22, 111.21, 111.75, 109.01
2016-04-21, 112.55, 114.04, 112.31
2016-04-20, 112.43, 113.27, 111.56
2016-04-19, 111.1, 112.45, 109.16
2016-04-18, 109.74, 110.81, 109.2
2016-04-15, 110.79, 110.97, 109.2
2016-04-14, 110.62, 112.04, 110.26
2016-04-13, 112.23, 112.65, 106.52
